observed_alias,canonical_symbol,occurrence_count,normalization_status
NASDAQ,NASDAQ,35,OBSERVED_AND_MAPPED
NBIS,NBIS,4,OBSERVED_AND_MAPPED
NG,NATURAL_GAS,33,OBSERVED_AND_MAPPED
NG JULY,NATURAL_GAS,1,OBSERVED_AND_MAPPED
NIFTY,NIFTY,51,OBSERVED_AND_MAPPED
NIFTY (STRIKE,NIFTY_STRIKE,6,OBSERVED_AND_MAPPED
NOW,NOW,1,OBSERVED_AND_MAPPED
NVDA,NVDA,11,OBSERVED_AND_MAPPED
OKTA,OKTA,4,OBSERVED_AND_MAPPED
ONGC,ONGC,1,OBSERVED_AND_MAPPED
ORCL,ORCL,4,OBSERVED_AND_MAPPED
PANW,PANW,1,OBSERVED_AND_MAPPED
PFC,PFC,4,OBSERVED_AND_MAPPED
PLTR,PLTR,4,OBSERVED_AND_MAPPED
RBA,RBA,1,OBSERVED_AND_MAPPED
RBLBANK,RBLBANK,4,OBSERVED_AND_MAPPED
RELIANCE,RELIANCE,4,OBSERVED_AND_MAPPED
RKLB,RKLB,3,OBSERVED_AND_MAPPED
RUSSELL,RUSSELL,26,OBSERVED_AND_MAPPED
S&P,SP500,1,OBSERVED_AND_MAPPED
S&P 500,SP500,1,OBSERVED_AND_MAPPED
S&P500,SP500,21,OBSERVED_AND_MAPPED
SBIN,SBIN,26,OBSERVED_AND_MAPPED
SHRIRAMFIN,SHRIRAMFIN,2,OBSERVED_AND_MAPPED
SILVER,SILVER,19,OBSERVED_AND_MAPPED
SILVER JULY,SILVER,16,OBSERVED_AND_MAPPED
SILVERBEES,SILVERBEES,4,OBSERVED_AND_MAPPED
SMCI,SMCI,3,OBSERVED_AND_MAPPED
SNDK,SNDK,21,OBSERVED_AND_MAPPED
SNOW,SNOW,1,OBSERVED_AND_MAPPED
SOXL,SOXL,14,OBSERVED_AND_MAPPED
SPCX,SPCX,1,OBSERVED_AND_MAPPED
STX,STX,8,OBSERVED_AND_MAPPED
SUNPHARMA,SUNPHARMA,1,OBSERVED_AND_MAPPED
SWIGGY,SWIGGY,1,OBSERVED_AND_MAPPED
TATASTEEL,TATASTEEL,10,OBSERVED_AND_MAPPED
TCS,TCS,3,OBSERVED_AND_MAPPED
TMPV,TMPV,21,OBSERVED_AND_MAPPED
ULTRACEMCO,ULTRACEMCO,1,OBSERVED_AND_MAPPED
UNIONBANK,UNIONBANK,16,OBSERVED_AND_MAPPED
UPL,UPL,2,OBSERVED_AND_MAPPED
US 30 Y T BOND,US_30Y_T_BOND,1,OBSERVED_AND_MAPPED
US 30Y T BOND,US_30Y_T_BOND,2,OBSERVED_AND_MAPPED
US COFFEE,US_COFFEE,2,OBSERVED_AND_MAPPED
VEDL,VEDL,5,OBSERVED_AND_MAPPED
VSAT,VSAT,1,OBSERVED_AND_MAPPED
VX,VIX,7,OBSERVED_AND_MAPPED
WDC,WDC,8,OBSERVED_AND_MAPPED
WIPRO,WIPRO,16,OBSERVED_AND_MAPPED
XOM,XOM,1,OBSERVED_AND_MAPPED
